iter	Logloss
0	0.5606002865
1	0.4717975411
2	0.4037383155
3	0.3669296704
4	0.3268197491
5	0.2879113418
6	0.2511591638
7	0.2165507177
8	0.1861263652
9	0.1705148403
10	0.1568378472
11	0.1484361708
12	0.1351310873
13	0.1237011581
14	0.106586801
15	0.09646292485
16	0.08801566686
17	0.08335928028
18	0.07759265733
19	0.06893063809
20	0.06613034665
21	0.05869581774
22	0.05559506756
23	0.05400200415
24	0.05084414142
25	0.04914237585
26	0.04752896993
27	0.04585182849
28	0.0443484921
29	0.04254819562
30	0.03898957483
31	0.0347748834
32	0.03150825357
33	0.03027717676
34	0.02913136775
35	0.02832648477
36	0.02587985348
37	0.02388344432
38	0.02266305439
39	0.02142170129
40	0.01975890388
41	0.01921245589
42	0.01826983513
43	0.01774526126
44	0.01760612173
45	0.01701657483
46	0.01582176772
47	0.01552757483
48	0.01434779925
49	0.01383471722
50	0.01291809655
51	0.01234887401
52	0.01196432675
53	0.01154837388
54	0.01125555122
55	0.0106575461
56	0.009916973472
57	0.00936979788
58	0.008648441014
59	0.008164342085
60	0.007979100577
61	0.007684924874
62	0.007383430586
63	0.007165482942
64	0.006990207868
65	0.006584130718
66	0.006483420323
67	0.006173364212
68	0.006090849302
69	0.005817812465
70	0.005730137449
71	0.005631759319
72	0.005443013445
73	0.005024255172
74	0.004776611137
75	0.004753446519
76	0.004727411569
77	0.004447329716
78	0.004273023355
79	0.004158738558
80	0.004045011403
81	0.00394416112
82	0.003834408365
83	0.003664250428
84	0.003576366534
85	0.00345094559
86	0.003377448453
87	0.003314748007
88	0.003170213711
89	0.00308376761
90	0.002999316467
91	0.002969466819
92	0.002803934978
93	0.002744924619
94	0.002661096528
95	0.002586127461
96	0.002561620061
97	0.002435580601
98	0.002392549002
99	0.00226889695
100	0.002185528866
101	0.002159478876
102	0.002068240293
103	0.002068240293
104	0.002026444532
105	0.001938138587
106	0.001932453662
107	0.00187168933
108	0.00182256436
109	0.001813382947
110	0.001813088848
111	0.001771610819
112	0.001771610819
113	0.001736222101
114	0.001695791204
115	0.001655824014
116	0.001632857412
117	0.001607977135
118	0.001582616202
119	0.001542589691
120	0.001474676025
121	0.001440582466
122	0.001401866273
123	0.001401866273
124	0.001373636797
125	0.001354262408
126	0.001330484049
127	0.001330484049
128	0.001302631507
129	0.001279349679
130	0.001279489806
131	0.001254442069
132	0.00121189232
133	0.001193486645
134	0.001193486645
135	0.00117810599
136	0.001178104319
137	0.001160857376
138	0.001160857376
139	0.001160857376
140	0.001160857376
141	0.00114302295
142	0.001142945367
143	0.001142849164
144	0.001126417081
145	0.00108049068
146	0.001080298752
147	0.001066072175
148	0.00106616432
149	0.00104903387
150	0.001049101189
151	0.00104923117
152	0.001049080659
153	0.001049219592
154	0.001049071588
155	0.001049068484
156	0.00102470121
157	0.00102470121
158	0.001009697371
159	0.001009697371
160	0.0009957968816
161	0.0009956794328
162	0.0009956646324
163	0.0009956568741
164	0.0009956568741
165	0.0009956568741
166	0.0009956568741
167	0.0009956568741
168	0.0009956568741
169	0.0009826128414
170	0.0009686119715
171	0.0009689426541
172	0.0009689426541
173	0.0009687454142
174	0.0009686267122
175	0.0009625270161
176	0.0009624772436
177	0.0009625111414
178	0.0009625111414
179	0.0009610875527
180	0.0009610875527
181	0.0009609421741
182	0.0009609393095
183	0.0009608414952
184	0.0009608414952
185	0.0009608414952
186	0.0009608841659
187	0.0009608778995
188	0.0009568668576
189	0.0009566711693
190	0.0009568520571
191	0.0009567325196
192	0.0009568120123
193	0.0009568120123
194	0.0009567628366
195	0.0009567628366
196	0.0009567628366
197	0.0009569005763
198	0.0009567049478
199	0.000956895981
200	0.0009568062831
201	0.0009568062831
202	0.0009568062831
203	0.0009568010313
204	0.0009568010313
205	0.0009568010313
206	0.0009568010313
207	0.0009568010313
208	0.0009568010313
209	0.0009568010313
210	0.0009568010313
211	0.0009568010313
212	0.0009568010313
213	0.0009568010313
214	0.0009568010313
215	0.0009568010313
216	0.0009568010313
217	0.0009568010313
